From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
06/08/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,11401.84,4.00,9199.89,8990.88,4027.99,NULL,NULL,NULL,NULL,13312.26,2.00,NULL,21.00,36.00,NULL,62.49,60.60,563.47,19.05,542.94,5.00,3.20,2196.30,2708.95,0.00,-41.67
06/09/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,8612.00,3.00,5849.86,5120.99,199.99,NULL,NULL,NULL,NULL,13201.96,2.00,NULL,32.00,17.00,NULL,57.66,71.14,1606.88,9.38,269.13,7.00,1.86,1102.48,2135.52,0.00,88.24
06/10/2025,1,West,2,Tallahassee,7,Warner Robins,NULL,1,W,6677.89,3.00,7032.87,4001.15,-819.98,NULL,NULL,NULL,NULL,7237.85,5.00,NULL,18.00,18.00,NULL,58.89,57.51,611.94,16.67,370.99,5.00,2.20,2194.29,654.97,0.00,0.00
05/01/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,13069.43,2.00,4026.03,8450.20,1449.00,NULL,NULL,NULL,NULL,7893.47,0.00,NULL,8.00,15.00,NULL,58.48,57.17,2523.82,25.00,1633.68,3.00,12.67,0.00,3290.84,0.00,-46.67
05/02/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,16438.71,2.00,15818.74,9419.34,3518.99,NULL,NULL,NULL,NULL,16618.67,1.00,NULL,16.00,16.00,NULL,63.28,60.46,1679.76,12.50,1027.42,4.00,8.00,5272.91,799.93,0.00,0.00
05/03/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,27512.61,4.00,15180.45,5858.25,1222.98,NULL,NULL,NULL,NULL,27262.62,1.00,NULL,33.00,17.00,NULL,55.93,52.10,4649.46,12.12,833.72,11.00,5.64,2132.92,2466.43,0.00,94.12
05/04/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,10833.08,5.00,1999.86,4425.94,3410.97,NULL,NULL,NULL,NULL,9900.71,2.00,NULL,13.00,27.00,NULL,53.90,52.30,1886.56,38.46,833.31,4.00,4.00,1277.71,2394.94,0.00,-51.85
05/05/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,5185.37,2.00,5099.88,3877.68,0.00,NULL,NULL,NULL,NULL,5185.37,5.00,NULL,10.00,12.00,NULL,62.35,58.84,154.50,20.00,518.54,3.00,2.00,2549.94,42.75,0.00,-16.67
05/06/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,16085.12,4.00,13598.62,8480.85,2328.98,NULL,NULL,NULL,NULL,16085.12,3.00,NULL,28.00,13.00,NULL,59.76,55.40,1943.43,14.29,574.47,6.00,5.33,3399.66,1243.25,0.00,115.38
05/07/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,29021.84,4.00,20790.91,12580.30,19657.10,NULL,NULL,NULL,NULL,29021.84,1.00,NULL,19.00,12.00,NULL,55.81,53.22,4688.46,21.05,1527.47,6.00,6.17,7263.63,1807.74,0.00,58.33
